Date	Author ID	Frequency
2018-01-15	905221383138942978	1
2018-01-15	938949394954637312	1
2018-01-15	20160295	1
2018-01-15	2494157430	1
2018-01-15	155700421	1
2018-01-15	2457496098	1
2018-01-15	137279028	1
2018-01-15	321080087	1
2018-01-15	1235207785	1
2018-01-15	830182457039286272	1
2018-01-15	57865041	1
2018-01-15	887167340	1
2018-01-15	3561672437	1
2018-01-15	831976585637031936	1
2018-01-15	1620483829	1
2018-01-15	2878547227	1
2018-01-15	4117139128	1
2018-01-15	813989290401140736	1
2018-01-15	3661741943	1
2018-01-15	2174532270	1
2018-01-15	525798773	1
2018-01-15	2949667835	1
2018-01-15	2762852093	1
2018-01-15	25422805	1
2018-01-15	425973924	1
2018-01-15	17171578	1
2018-01-15	34699071	1
2018-01-15	509134376	1
2018-01-15	745323264097005569	1
2018-01-15	24637446	1
2018-01-15	950341687	1
2018-01-15	44561890	1
2018-01-15	168919083	1
2018-01-15	870415836883722240	1
2018-01-15	1574407484	1
2018-01-15	321940205	1
2018-01-15	919305311839760384	1
2018-01-15	98751552	1
2018-01-15	147993112	1
2018-01-15	28432502	1
2018-01-15	248374563	1
2018-01-15	722076001086222337	1
2018-01-15	837828676528005121	1
2018-01-15	2743086557	1
2018-01-15	864655654056849409	1
2018-01-15	3288091105	1
2018-01-15	948921391570550784	1
2018-01-15	38423569	1
2018-01-15	33597746	1
2018-01-15	904896468137328641	1
2018-01-15	73677296	1
2018-01-15	1260735456	1
2018-01-15	700700371	1
2018-01-15	2975545999	1
2018-01-15	996041006	1
2018-01-15	393108783	1
2018-01-15	2266168763	1
2018-01-15	2857355637	1
2018-01-15	314026743	1
2018-01-15	917372437481664512	1
2018-01-15	17055006	1
2018-01-15	72882689	1
2018-01-15	476315898	1
2018-01-15	2530553016	1
2018-01-15	32555634	1
2018-01-15	296630348	1
2018-01-15	1232838048	1
2018-01-15	922443328213336066	1
2018-01-15	176618256	1
2018-01-15	2182575030	1
2018-01-15	1339712894	1
2018-01-15	3266050742	1
2018-01-15	4067892401	1
2018-01-15	272957426	1
2018-01-15	478181821	1
2018-01-15	948947475578150913	1
2018-01-15	133149857	1
2018-01-15	1053061466	1
2018-01-15	93692688	1
2018-01-15	1067623291	1
2018-01-15	2516531996	1
2018-01-15	898037131330940932	1
2018-01-15	1058104100	1
2018-01-15	2260947781	1
2018-01-15	1540445425	1
2018-01-15	780449992007782400	1
2018-01-15	4142337676	1
2018-01-15	746581920	1
2018-01-15	345113825	1
2018-01-15	17603992	1
2018-01-15	848848453241372672	1
2018-01-15	833490683503722496	1
2018-01-15	822503790288969728	1
2018-01-15	188687596	1
2018-01-15	87302119	1
2018-01-15	772440139507372033	1
2018-01-15	305247428	1
2018-01-15	197466523	1
2018-01-15	374668863	1
2018-01-15	88575471	1
2018-01-15	845779920580161542	1
2018-01-15	33416297	1
2018-01-15	905670377698869248	1
2018-01-15	2376944491	1
2018-01-15	1224277500	1
2018-01-15	24317235	1
2018-01-15	917834542014128128	1
2018-01-15	2922120687	1
2018-01-15	858924511	1
2018-01-15	263136256	1
2018-01-15	946382624821354496	1
2018-01-15	1020740042	1
2018-01-15	814541725343563776	1
2018-01-15	557030236	1
2018-01-15	825378546348617728	1
2018-01-15	1972294314	1
2018-01-15	331169386	1
2018-01-15	3152313834	1
2018-01-15	4595365463	1
2018-01-15	310283276	1
